,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
2824,1093,Gasification Project ARIDEMA,myclimate Foundation,Gold Standard Certified Design,"13,9,7","Biomass, or Liquid Biofuel - Electricity",Honduras,"Cogeneracion R4E Talanga, a Honduran renewable energy generation company, intends to reduce greenhouse gas emissions, improve the socio-economic situation and working conditions of sawmill producers and members of Talanga, and provide them with clean electricity from a renewable energy source, by installing and operating a 2 MW biomass combustion and electricity generation plant in the Regional Association of Sawmills Francisco Morazán (ARIDEMA- Asociación Regional de Industriales de la Madera de Francisco Morazán) in Talanga, Honduras.",9500,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
2825,1092,Musanze Improved Cook Stove Project,CO2balance UK ltd,Listed,"13,15,3",Energy Efficiency - Domestic,Rwanda,"This project will involve the distribution of improved cook stoves into rural areas of the Musanze District, Rwanda. In addition to reducing deforestation through less wood use, the project is also expected to have additional benefits for local communities, such as reduced incidences of illnesses related to indoor air pollution and smoke inhalation, improved employment opportunities, and less time and money spent on fire wood collection.",5000,,Microscale,Standalone,,0
2826,1091,42 MW Amasya Wind Power Project,Sekans Danışmanlık,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"The project is the installation of first-hand wind 21 turbines between Beldaðý   and Halifeli districts of Amasya province, Turkey. The proposed project includes   21 wind turbines with 2 MW capacities each and the project will generate 153   GWh electricity anually and connect it to the national grid. The expected amount   of emission reductions due to the project activity is 102.120 tCO2e.",90332,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,1
2827,1088,Afyonkarahisar Landfill Gas to Electricity Project Turkey,FutureCamp Climate GmbH,Listed,"13,3,12",Biogas - Electricity,Turkey,"Arel Çevre Yatýrýmlarý ve Enerji Üretim Tic. Ltd. Sti. (Arel Enerji) plans to invest   into a biogas power plant to generate electricity and feed it into the Turkish grid.   The biogas power project is planned to be built in the province of   Afyonkarahisar in Turkey. The project aims at avoiding greenhouse gas (GHG)   emissions from existing landfill area by collecting biogas to generate electricity.   Construction work for project is planned to begin in June 2011. From mid of   2012 on, Afyonkarahisar Landfill Gas to Electricity Project is planned to produce   electricity by using landfill gas, which creates fire and public health risks.  The activity includes installation of landfill gas extraction system, an enclosed   flare as well as a biogas driven genset for electricity production. The extraction   system shall include a network of vertical gas extraction wells, de-watering   units   and gas transport pipelines connected to a main collector system.",18637,ACM0001 Flaring or use of landfill gas,Small Scale,Standalone,,0
2828,1085,EDINCIK Biogas Power  Plant,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Design,"13,3,12",Biogas - Cogeneration,Turkey,Edincik biogas plant is a 3.12 MW plant designed to generate   electricity and heat from manure and agricultural residues.,138208,ACM0010 GHG emission reductions from manure management systems,Large scale,Standalone,,0
2829,1083,Biogas Program for the Animal Husbandry Sector of Vietnam,The Biogas Project Management Unit,Gold Standard Certified Project,"13,3,12",Biogas - Heat,Viet Nam,"Project “Biogas Program for the Animal Husbandry Sector in   Vietnam"" is implemented by Livestock Production Department   (under MARD) in cooperation with Netherlands Development   Organisation – SNV. Overall objectives of project are (i)   exploiting effectively biogas technology and developing a   commercial viable biogas sector in Vietnam; and (ii)   contributing to rural development and environmental protection   via provision of clean and affordable energy to rural   households, improvement of community’s sanitation and rural   people’s health, creation of job for rural labour and   reduction of greenhouse gas emission.",589125,GS TPDDTEC v 1.,Large scale,Standalone,,0
2830,1082,Saray Wind Power Plant,Saray D_km ve Madeni Aksam San. A._.,Gold Standard Certified Design,"13,7,8",Wind,Turkey,"Saray Wind Power Project (Saray WPP) is located in the   northwest of Turkey, in borders of Cerkezkoy district of   Tekirdag. The power plant will be constructed in Cerkezkoy   Factory site of Saray Dokum ve Madeni Aksam San. A.S. which is   in Velikoy Industrial Area.    Saray Dokum ve Madeni Aksam San. A.S. (SARAY DOKUM) proposes   to install Saray WPP with 4.0 MW installed capacity in borders   of Cerkezkoy district of Tekirdag. Saray WPP will have 2   turbines each having an installed capacity of 2.0 MW. The   total electricity production of the project is expected to be   some 12.870 MWh/year.   SARAY DOKUM obtained the “Autoproducer License"" from the   Energy Market Regulatory Authority (EMRA) for the proposed   project site. A 35-year license (License No. EO/3110-4/186,   dated March 10, 2011) is granted for the project by EMRA under   the provisions of Law No. 4628 governing the electricity   market in the Public of Turkey.",7850,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
2831,1078,Aqua Clara Water Filtration Program in Kenya,ClimateCare Limited,Gold Standard Certified Project,"13,6,9,3,8",Energy Efficiency - Domestic,Kenya,"Aqua Clara Foundation's flagship product is the ACF bio-sand water purifier. This zero energy ACF water purifier displaces the use of firewood fuel traditionally used to boil water for domestic consumption.  ACF water purifier project seeks to introduce approximately 23,875 Bio Sand purifiers, 4 Large Scale Sand and Membrane Filters and approximately 4,800 household SAM units in rural and peri-urban Kenya and in so doing reduce 181,797 tonnes of CO2 emissions per year.    While many of these families do boil water to purify it for drinking purposes, continued use of firewood for this purpose has led to destruction of woodlands. Coupled with this widespread deforestation is the contribution of the households to local carbon dioxide emissions as well as indoor air pollution within the respective domestic units.",181797,GS TPDDTEC v 1.,Large Scale,Standalone,,0
2832,1077,Eti Krom Waste Heat Recovery for Energy Generation Project,Carbon Clear,Listed,"13,7,8",Energy Efficiency - Industrial,Turkey,"The project generates electricity from waste heat collected   from the furnaces at a ferrochrome manufacturing facility.   Emission reductions are generated by displacing electricity   from the regional grid.    There are two production plants which are referred to as   Plant-A and Plant-B at the site, and each plant consists of   two furnaces. The dust concentration in the waste gas   exhausted from Plant- A’s furnaces is 2x140.000 Nm3/h at 80ºC   and from Plant-B’s furnaces is 2x82.500 Nm3/h at 600 ºC. A   waste gas cleaning system will be established to reduce the   dust concentration of the exhaust gas to 10 mg/Nm3. To filter   the waste gas from Plant B’s furnaces the temperature of the   gas needs to be decreased. The waste heat which will be   produced during the cooling process of the waste gas from   Plant-B will be used to generate approximately 25,300 MWh   electricity annually. The electricity generated with the waste   heat will be approximately 10% of Plant B’s total annu",20925,,Small Scale,Standalone,,0
2833,1074,Santander and Las Tapias Renewable Energy Project,Sustainable Carbon - Projetos Ambientais LTDA,Gold Standard Certified Project,"13,7,8","Biomass, or Liquid Biofuel - Heat",Colombia,"This is the bundled project of Santander and Las Tapias 3   ceramics, which are both red ceramic factories located in   Colombia. These factories produce ceramic devices, destined   mainly for the regional market in the metropolitan area of   Bogotá.  This project will generate renewable energy from biomass   resources, while reducing GHG emissions by the displacement of   the use of coal for thermal energy production. The project   also results in energy efficiency improvements, as the   ceramics have replaced their inefficient kilns that existed   before the project initiation by more efficient kilns.  The main objective of this project is to contribute for a   sustainable energy matrix in the Colombian ceramic sector,   which has historically relied upon the use of fossil fuels.",18477,GS SS Ecologically Sound Fuel Switch to Biomass v1.,Small Scale,Standalone,,0
2834,1073,Pamukova Integrated Solid Waste Management Plant Project,HEKSAGON KATI ATIK YONETIMI SANAYI VE TICARET A.S.,Gold Standard Certified Project,"13,3,12",Biogas - Cogeneration,Turkey,"Pamukova Integrated Solid Waste Management Plant Project is developed by Biosun Kati Atik Isleme Enerji ve Cevre San.Tic.A.S. at Pamukova Municipality, Sakarya Province, Turkey. The project applies anaerobic digestion technology to dispose 12,264 tons of municipal organic waste, consisting mainly food waste, and small partial woody waste and garden waste. The anaerobic digester also disposes 16,859 tons of vegetable waste, 21,900 tons of cow manure and a certain amount of chicken manure each year. The composting technology is applied to the digestate from the anaerobic digester. In addition, 1,168 tons of structure material is used in the composting process as the additives and blending substance. The structure materials are the woody chips, which is the production waste from local furniture manufacturers and would be disposed in the landfill site. 9,340 tons of compost output will be used to produce fertilizer. During the anaerobic digestion process, approximate 1.38 million m3 of biogas will be generated, which will be fed into CHP for the electricity and heat generation. The project activity selects the renewable crediting period. During its first crediting period, the project will realise emission reduction of 514,940 tCO2, equivalent to 73,563 tCO2 in average per year.",73563,GS Revised Methodology for Manure Management Systems and MSW v1.,Large scale,Standalone,,0
